Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Dilan: Dia Adalah Dilanku Tahun 1990,Pidi Baiq,,,"""""Milea, kamu cantik, tapi aku belum mencintaimu. Enggak tahu kalau sore. Tunggu aja"""" (Dilan 1990)  """"Milea, jangan pernah bilang ke aku ada yang menyakitimu, nanti, besoknya, orang itu akan hilang."""" (Dilan 1990)  """"Cinta sejati adalah kenyamanan, kepercayaan, dan dukungan. Kalau kamu tidak setuju, aku tidak peduli."""" (Milea 1990)","Romance, Novels, Fiction, Indonesian Literature, Young Adult, Comedy, Contemporary","332 pages, Paperback","First published April 1, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442310576i/22037542.jpg,,,
Arus Balik,Pramoedya Ananta Toer,,,"Semasa jayanya Majapahit, Nusantara merupakan kesatuan maritim dan kerajaan laut terbesar di antara bangsa-bangsa beradab di muka bumi. Arus bergerak dari selatan ke utara, segalanya: kapal-kapalnya, manusianya, amal perbuatannya dan cita-citanya, semua bergerak dari Nusantara di selatan ke 'Atas Angin' di utara. Tapi zaman berubah...  Arus berbalik -- bukan lagi dari selatan ke utara tetapi sebaliknya dari utara ke selatan. Utara kuasai selatan, menguasai urat nadi kehidupan Nusantara... Perpecahan dan kekalahan seakan menjadi bagian dari Jawa yang beruntun tiada hentinya.  Wiranggaleng -- pemuda desa sederhana, menjadi tokoh protagonis dalam epos kepahlawanan yang maha dahsyat ini. Dia bertarung sampai ke pusat kekuasaan Portugis di Malaka, memberi segala-galanya -- walau hanya secauk pasir sekalipun -- untuk membendung arus utara.    Karya Pramoedya Ananta Toer Sebuah epos besar dari seorang penulis besar","Novels, Fiction, Indonesian Literature, Classics, Historical Fiction, Literature","760 pages, Paperback","January 1, 1995 by Hasta Mitra",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463799193i/963151.jpg,,9789798659041 (ISBN10: 979865904X),Indonesian
Ayah,Andrea Hirata,,,"Betapa Sabari menyayangi Zorro. Ingin dia memeluknya sepanjang waktu. Dia terpesona melihat makhluk kecil yang sangat indah dan seluruh kebaikan yang terpancar darinya. Diciuminya anak itu dari kepala sampai ke jari-jemari kakinya yang mungil. Kalau malam Sabari susah susah tidur lantaran membayangkan bermacam rencana yang akan dia lalui dengan anaknya jika besar nanti. Dia ingin mengajaknya melihat pawai 17 Agustus, mengunjungi pasar malam, membelikannya mainan, menggandengnya ke masjid, mengajarinya berpuasa dan mengaji, dan memboncengnya naik sepeda saban sore ke taman kota.","Novels, Fiction, Indonesian Literature, Family, Romance, Drama, Young Adult","412 pages, Paperback","May 1, 2015 by Bentang",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431005462i/25498974.jpg,,9786022911029,Indonesian
Edensor,Andrea Hirata,Tetralogi Laskar Pelangi (#3),,"Aku ingin mendaki puncak tantangan, menerjang batu granit kesulitan, menggoda mara bahaya, dan memecahkan misteri dengan sains. Aku ingin menghirup berupa-rupa pengalaman lalu terjun bebas menyelami labirin lika-liku hidup yang ujungnya tak dapat disangka. Aku mendamba kehidupan dengan kemungkinan-kemungkinan yang bereaksi satu sama lain seperti benturan molekul uranium: meletup tak terduga-duga, menyerap, mengikat, mengganda, berkembang, terurai, dan berpencar ke arah yang mengejutkan. Aku ingin ke tempat-tempat yang jauh, menjumpai beragam bahasa dan orang-orang asing. Aku ingin berkelana, menemukan arahku dengan membaca bintang gemintang. Aku ingin mengarungi padang dan gurun-gurun, ingin melepuh terbakar matahari, limbung dihantam angin, dan menciut dicengkeram dingin. Aku ingin kehidupan yang menggetarkan, penuh dengan penaklukan. Aku ingin hidup! Ingin merasakan sari pati hidup!","Novels, Fiction, Indonesian Literature, Adventure, Young Adult, Romance, Travel","288 pages, Paperback","January 1, 2007 by Bentang Pustaka",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489733485i/1464757.jpg,,9789791227025 (ISBN10: 9791227020),Indonesian
Cinta di Dalam Gelas,Andrea Hirata,Padang Bulan (#2),,"CINTA DI DALAM GELAS bertutur tentang tugas berat di pundak Ikal. Dia harus membantu Maryamah memenangkan pertandingan catur saat 17 Agustus nanti. Maryamah, yang menyentuh bidak catur saja belum pernah, harus mengalahkan juara catur selama dua tahun berturut-turut yang sekaligus juga mantan suaminya. Namun, lebih dari itu, jenis kelamin Maryamah menjadi tantangan berat untuk bisa mencebur ke dalam pertandingan penuh harkat bagi kaum lelaki ini.  Bagi penonton yang pro maupun kontra, usaha Maryamah jelas sebuah suguhan yang sangat menarik. Begitu pulakah dengan Maryamah?","Novels, Fiction, Indonesian Literature, Romance, Literature, Collections, Drama","270 pages, Paperback","June 1, 2010 by Bentang Pustaka",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1276569634i/8460546.jpg,"Ikal, A Ling, Enong, Zamzami, Detektif M. Nur",,Indonesian
Partikel,Dee Lestari,Supernova (#4),,"Di pinggir Kota Bogor, dekat sebuah kampung bernama Batu Luhur, seorang anak bernama Zarah, dan adiknya, Hara, dibesarkan secara tidak konvensional oleh ayahnya, dosen sekaligus ahli mikologi bernama Firas. Cara Firas mendidik anak-anaknya mengundang pertentangan dari keluarganya sendiri.  Di balik itu semua, masih tersimpan berlapis misteri, di antaranya hubungan khusus Firas dan sebuah tempat angker yang ditakuti warga kampung. Tragedi demi tragedi yang menimpa keluarganya akhirnya membawa Zarah ke sebuah pelarian sekaligus pencarian panjang.  Di konservasi orang utanTanjung Puting, Zarah menemukan keluarga baru dan kedekatannya kembali dengan alam. Namun, bakat fotografinya membawa Zarah lebih jauh dari yang ia duga. Di London, tempat Zarah akhirnya bermarkas, ia menemukan segalanya. Cinta, persahabatan, pengkhianatan. Termasuk petunjuk penting yang membawa titik terang bagi pencariannya.  Sementara itu, di Kota Bandung, Elektra dan Bodhi akhirnya bertemu. Secara bersamaan, keduanya mulai mengingat siapa diri mereka sesungguhnya.","Fiction, Novels, Fantasy, Indonesian Literature, Science Fiction, Romance, Adventure","508 pages, Paperback","April 13, 2012 by Bentang Pustaka",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333816801i/13582635.jpg,,9786028811743,Indonesian
Hafalan Shalat Delisa,Tere Liye,,"Lhok Nga (Indonesia, 2004)","Delisa anak perempuan yang bermata hijau, bening dan umurnya baru mencecah lima tahun. Dia hidup dalam keluarganya yang sebegitu, dia cuba menghafal bacaan dalam solat dengan bantuan ibu dan kakaknya.  Namun Tuhan lebih tahu apa yang lebih baik untuk hamba-Nya. Tsunami datang melumatka senyuman pada wajah Delisa. Tsunami mengambil segala-galanya, keluarga juga kaki kecilnya. Yang tersisa, hanya dia dan ayahnya, dan dalam keadaan sebegitu apakah Delisa mampu tetap tersenyum seperti dahulu dan menyudahkan hafalannya?","Novels, Fiction, Indonesian Literature, Islam, Religion, Family, Childrens","248 pages, Paperback","January 1, 2007 by Republika",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303475676i/1376220.jpg,"Delisa, Aisyah, Zahra, Fatimah",(ISBN10: 9793210605),Indonesian
Hujan,Tere Liye,,,Tentang persahabatan Tentang cinta Tentang perpisahan Tentang melupakan Tentang hujan,"Romance, Fiction, Novels, Indonesian Literature, Fantasy, Science Fiction, Young Adult","320 pages, Paperback","January 28, 2016 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451905281i/28446637.jpg,,9786020324784 (ISBN10: 6020324788),Indonesian
Di Bawah Lindungan Ka'bah,Hamka,,Indonesia,"... Maksud yang engkau terangkat itu, amat saya setujui, itulah suatu maksud yang baik, sebab itu adalah suatu hikayat dan kejadian yang mendukakan hati dan merawankan pikiran, yang kerap kali benar kejadian dalam kalangan pemuda-pemudi kita.  ... Demi bila buku itu telah selesai, kirimkanlah kiranya kepadaku barang senaskah, guna menghidangkan kenang-kenanganku kepada masa yang telah lampau, semasa kita masih bernaung DI BAWAH LINDUNGAN KA'BAH","Novels, Fiction, Indonesian Literature, Romance, Classics, Literature, Islam","56 pages, Paperback","January 1, 1995 by Bulan Bintang",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1484377793i/1645513.jpg,,9789794180631 (ISBN10: 9794180637),Indonesian
Gadis Pantai,Pramoedya Ananta Toer,,,"""""...Roman ini menusuk feodalisme Jawa yang tak memiliki adab dan jiwa kemanusiaan tepat langsung di jantungnya yang paling dalam.""""","Fiction, Indonesian Literature, Novels, Historical Fiction, Literature, Classics, Romance","232 pages, Paperback","January 1, 2000 by Hasta Mitra",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1484031705i/735248.jpg,,,Indonesian
Muhammad: Lelaki Penggenggam Hujan,Tasaro G.K.,,,"Kashva pergi dari Suriah, meninggalkan Khosrou, sang penguasa Persia tempatnya mengabdikan hidup demi menemukan lelaki itu: Muhammad. Al-Amin yang kelahirannya akan membawa rahmat bagi semesta alam, pembela kaum papa, penguasa yang adil kepada rakyatnya.  Kehidupan Kashva setelah itu berubah menjadi pelarian penuh kesakitan dan pencarian yang tiada henti terhadap sosok yang dijanjikan. Seorang Pangeran Kedamaian yang dijanjikan oleh semua kitab suci yang dia cari dari setiap ungkapan ayat-ayat Zardusht sampai puncak-puncak salju di perbatasan India, Pegunungan Tibet, biara di Suriah, Istana Heraklius, dan berakhir di Yatsrib, sang Kota Cahaya.  Hasrat dalam diri Kashva sudah tak terbendung lagi. Keinginannya untuk bisa bertemu dengan Muhammad demikian besar hingga tak ada sesuatu pun yang membuatnya jerih. Bahkan maut yang mengintai dari ujung pedang tentara Khosrou tak juga menyurutkan kerinduannya bertemu Muhammad.  Kisah pencarian Kashva yang syahdu dalam novel ini akan membawa kita menelusur Jazirah Arab, India, Barrus, hinga Tibet.","Novels, Islam, Indonesian Literature, Fiction, Religion, Historical Fiction, Collections","546 pages, Paperback","First published January 1, 2010",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1447145843i/7948706.jpg,,,
Para Priyayi: Sebuah Novel,Umar Kayam,Para Priyayi (#1),,Novel ini bercerita tentang Soedarsono seorang anak dari keluarga buruh tani yang oleh orang tua dan sanak saudaranya diharapkan dapat menjadi “sang pemula” untuk membangun dinasti keluarga priyayi kecil. Berkat dorongan Asisten Wedana Ndoro Seten ia bisa sekolah dan kemudian menjadi guru desa.  Dari sinilah ia memasuki dunia elite birokrasi sebagai priyayi pangreh praja. Ketiga anaknya melawati zaman Belanda dan zaman Jepang tumbuh sebagai guru opsir PETA dan istri asisten wedana. Cita-cita keluarganya berhasil. Benarkah? Lalu apakah sesungguhnya “priyayi” itu? Status kelas? Pandangan dunia kelas menengah elite birokrasi? Sekadar gaya hidup? Atau kesemuanya?,"Indonesian Literature, Novels, Fiction, Historical Fiction, Literature, Historical, Classics","308 pages, Paperback","January 1, 1992 by Pustaka Utama Grafiti",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1484380572i/984819.jpg,"Sudarsono, Ndoro Seten, Lantip",(ISBN10: 9794441864),Indonesian
Atheis,Achdiat K. Mihardja,,,"Roman Atheis mengetengahkan perkembangan yang khas bagi masyarakat Indonesia sejak permulaan abad kedua puluh, yakni pergeseran gaya hidup tradisional ke gaya hidup modern. Pergeseran itu membawa serta perselisihan dan bentrokan antara paham-paham lama dan baru, terjadi khususnya di lapangan sosial budaya dan politik.  Perkembangan di dalam masyarakat tidak luput meninggalkan perngaruh pada pengalaman batin manusia. Keresahan batin di tengah-tengah bergeloranya pertentangan paham di zaman penjajahan Belanda dan Jepang menjadi pokok perhatian roman ini.","Novels, Indonesian Literature, Classics, Fiction, Romance, Historical Fiction, Literature","180 pages, Paperback","August 1, 1972 by University of Queensland Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297134842i/1283619.jpg,"Hasan, Kartini, saya",9780702207655 (ISBN10: 0702207659),English
Bumi,Tere Liye,Bumi (#1),,"Namaku Raib, usiaku 15 tahun, kelas sepuluh. Aku anak perempuan seperti kalian, adik-adik kalian, tetangga kalian. Aku punya dua kucing, namanya si Putih dan si Hitam. Mama dan papaku menyenangkan. Guru-guru di sekolahku seru. Teman-temanku baik dan kompak.  Aku sama seperti remaja kebanyakan, kecuali satu hal. Sesuatu yang kusimpan sendiri sejak kecil. Sesuatu yang menakjubkan.  Namaku, Raib. Dan aku bisa menghilang.","Fantasy, Fiction, Novels, Indonesian Literature, Adventure, Young Adult, Science Fiction","440 pages, Paperback","January 27, 2014 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383884931i/18759843.jpg,"Raib, Seli, Ali",9786020301129 (ISBN10: 6020301125),Indonesian
Lelaki Harimau,Eka Kurniawan,,,"Pada lanskap yang sureal, Margio adalah bocah yang menggiring babi ke dalam perangkap. Namun di sore ketika seharusnya rehat menanti musim perburuan, ia terperosok dalam tragedi pembunuhan paling brutal. Di balik motif-motif yang berhamburan, antara cinta dan pengkhianatan, rasa takut dan berahi, bunga dan darah, ia menyangkal dengan tandas. “Bukan aku yang melakukannya,” ia berkata dan melanjutkan, “Ada harimau di dalam tubuhku.”","Fiction, Indonesian Literature, Asia, Magical Realism, Contemporary, Novels, Fantasy","193 pages, Paperback","January 1, 2004 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464873773i/1910373.jpg,,(ISBN10: 9792207996),Indonesian
,,,,,,,,,,,
Ranah 3 Warna,Ahmad Fuadi,Negeri 5 Menara (#2),,"Alif baru saja tamat dari Pondok Madani. Dia bahkan sudah bisa bermimpi dalam bahasa Arab dan Inggris. Impiannya? Tinggi betul. Ingin belajar teknologi tinggi di Bandung seperti Habibie, lalu merantau sampai ke Amerika.  Dengan semangat menggelegak dia pulang ke Maninjau dan tak sabar ingin segera kuliah. Namun kawan karibnya, Randai, meragukan dia mampu lulus UMPTN. Lalu dia sadar, ada satu hal penting yang dia tidak punya. Ijazah SMA. Bagaimana mungkin mengejar semua cita-cita tinggi tadi tanpa ijazah?  Terinspirasi semangat tim dinamit Denmark, dia mendobrak rintangan berat. Baru saja dia bisa tersenyum, badai masalah menggempurnya silih berganti tanpa ampun. Alif letih dan mulai bertanya-tanya: """"Sampai kapan aku harus teguh bersabar menghadapi semua cobaan hidup ini?"""" Hampir saja dia menyerah.  Rupanya """"mantra"""" man jadda wajada saja tidak cukup sakti dalam memenangkan hidup. Alif teringat """"mantra"""" kedua yang diajarkan di Pondok Madani: man shabara zhafira. Siapa yang bersabar akan beruntung. Berbekal kedua mantra itu dia songsong badai hidup satu persatu. Bisakah dia memenangkan semua impiannya?  Ke mana nasib membawa Alif? Apa saja 3 ranah berbeda warna itu? Siapakah Raisa? Bagaimana persaingannya dengan Randai? Apa kabar Sahibul Menara? Kenapa sampai muncul Obelix, orang Indian dan Michael Jordan dan Kesatria Berpantun? Apa hadiah Tuhan buat sebuah kesabaran yang kukuh?  Ranah 3 Warna adalah hikayat bagaimana impian tetap wajib dibela habis-habisan walau hidup terus digelung nestapa tak berkesudahan. Tuhan sungguh bersama orang yang sabar.","Novels, Fiction, Indonesian Literature, Inspirational, Islam, Slice Of Life, Religion","473 pages, Paperback","January 25, 2011 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294322982i/10135719.jpg,"Alif, Randai, Raisa, Rusdi, Kiai Rais, Ayah, Amak, Bang Togar, Shahibul Menara",9789792263251 (ISBN10: 979226325X),Indonesian
Maryamah Karpov: Mimpi-mimpi Lintang,Andrea Hirata,,,"Keberanian dan keteguhan hati telah membawa Ikal pada banyak tempat dan peristiwa. Sudut-sudut dunia telah dia kunjungi demi menemukan A Ling. Apa pun Ikal lakukan demi perempuan itu. Keberaniannya ditantang ketika tanda-tanda keberadaan A Ling tampak. Dia tetap mencari, meski tanda-tanda itu masih samar. Dapatkah keduanya bertemu kembali? -","Novels, Fiction, Indonesian Literature, Romance, Adventure, Drama, Young Adult","504 pages, Paperback","First published November 1, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1271605823i/4212386.jpg,,,
Harimau! Harimau!,Mochtar Lubis,,Indonesia,"Harimau! Harimau! telah mendapat Hadiah Yayasan Buku Utama sebagai buku penulisan sastra terbaik tahun 1975.  Buku ini dapat dibaca sebagai sebuah cerita petualangan di rimba raya oleh sekelompok pengumpul damar yang diburu oleh seekor harimau yang kelaparan. Berhari-hari mereka mencoba menyelamatkan diri mereka dan seorang demi seorang di antara mereka jatuh menjadi korban terkaman harimau. Di tingkat lain, juga terjadi petualangan dalam diri masing-masing anggota kelompok pengumpul damar ini. Di bawah tekanan ancaman harimau yang terus-menerus memburu mereka, dalam diri meraka masing-masing, yang mempertinggi pula kesadaran mereka tentang kekuatan dan kelemahan-kelemahan para anggota kelompok mereka yang lain.  Di antara mereka malahan sampai pada kesadaran bahwa sebelum membunuh harimau yang memburu-buru mereka, tak kalah pentingnya ialah untuk membunuh terlebih dahulu harimau yang berada dalam setiap anak manusia.  Buku ini telah diterjemahkan ke dalam bahasa Inggris, Belanda, Jerman, dan sebuah terjemahan dalam bahasa Jepang sedang dilakukan pula.","Indonesian Literature, Novels, Fiction, Classics, Literature, Thriller, Adventure","214 pages, Paperback","January 1, 1999 by Yayasan Obor Indonesia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377676472i/1455669.jpg,"Buyung, Wak Katok, Pak Haji, Sanip, Sutan, Talib, Pak Balam",(ISBN10: 9794611093),Indonesian
