Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Redwall,Brian Jacques,"Redwall (#1), Redwall (chronological order) (#9)",,"A quest to recover a legendary lost weapon by bumbling young apprentice monk, mouse Matthias.  Redwall Abbey, tranquil home to a community of peace-loving mice, is threatened by Cluny the Scourge savage bilge rat warlord and his battle-hardened horde. But the Redwall mice and their loyal woodland friends combine their courage and strength.","Fantasy, Fiction, Young Adult, Childrens, Animals, Middle Grade, Adventure","352 pages, Paperback","September 4, 2006 by Red Fox",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327877368i/7996.jpg,,9781862301382 (ISBN10: 1862301387),English
Collected Fictions,Jorge Luis Borges,,,"Jorge Luis Borges has been called the greatest Spanish-language writer of our century. Now for the first time in English, all of Borges' dazzling fictions are gathered into a single volume, brilliantly translated by Andrew Hurley. From his 1935 debut with The Universal History of Iniquity, through his immensely influential collections Ficciones and The Aleph, these enigmatic, elaborate, imaginative inventions display Borges' talent for turning fiction on its head by playing with form and genre and toying with language. Together these incomparable works comprise the perfect one-volume compendium for all those who have long loved Borges, and a superb introduction to the master's work for those who have yet to discover this singular genius.","Fiction, Short Stories, Classics, Literature, Fantasy, Magical Realism, Philosophy","565 pages, Paperback","September 30, 1999 by Penguin Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1705868168i/17961.jpg,,9780140286809 (ISBN10: 0140286802),English
Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,,,"Librarian's note: An alternate cover edition can be found here  TEACHER SEEKS PUPIL. Must have an earnest desire to save the world. Apply in person.  It was just a three-line ad in the personals section, but it launched the adventure of a lifetime...  So begins , an utterly unique and captivating novel that has earned a large and passionate following among readers and critics alike—one of the most beloved and bestselling novels of spiritual adventure ever published.","Fiction, Philosophy, Spirituality, Classics, Fantasy, Environment, Novels","266 pages, Paperback","First published January 1, 1992",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685609525i/227265.jpg,,,
The Feminine Mystique,Betty Friedan,,,"The book that changed the consciousness of a country―and the world.  Landmark, groundbreaking, classic―these adjectives barely describe the earthshaking and long-lasting effects of Betty Friedan's The Feminine Mystique. This is the book that defined """"the problem that has no name,"""" that launched the Second Wave of the feminist movement, and has been awakening women and men with its insights into social relations, which still remain fresh, ever since. A national bestseller, with over 1 million copies sold.","Feminism, Nonfiction, Classics, History, Womens, Philosophy, Sociology","430 pages, Paperback","September 17, 2001 by W. W. Norton & Company",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479777578i/38723.jpg,,9780393322576 (ISBN10: 0393322572),English
The Forsyte Saga,John Galsworthy,"The Forsyte Chronicles (#1-3), The Forsyte Saga (#1-3)",United Kingdom,"John Galsworthy, a Nobel Prize-winning author, chronicles the ebbing social power of the commercial upper-middle-class Forsyte family through three generations, beginning in Victorian London during the 1880s and ending in the early 1920s.","Fiction, Historical Fiction, Classics, British Literature, Literature, Romance, Historical","872 pages, Paperback","May 13, 1999 by Oxford University Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388286090i/103159.jpg,,9780192838629 (ISBN10: 0192838628),English
The House on Mango Street,Sandra Cisneros,,"Chicago, Illinois (United States)","Acclaimed by critics, beloved by readers of all ages, taught everywhere from inner-city grade schools to universities across the country, and translated all over the world, The House on Mango Street is the remarkable story of Esperanza Cordero.  Told in a series of vignettes – sometimes heartbreaking, sometimes deeply joyous–it is the story of a young Latina girl growing up in Chicago, inventing for herself who and what she will become. Few other books in our time have touched so many readers.","Fiction, Classics, Young Adult, Short Stories, School, Contemporary, Coming Of Age","110 pages, Paperback","April 3, 2009 by Knopf Doubleday Publishing Group",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348245688i/139253.jpg,"Esperanza, Nenny",9780679734772 (ISBN10: 0679734775),English
Pedro Páramo,Juan Rulfo,,"Comala (Mexico), Mexico","A classic of Mexican modern literature about a haunted village.  As one enters Juan Rulfo's legendary novel, one follows a dusty road to a town of death. Time shifts from one consciousness to another in a hypnotic flow of dreams, desires, and memories, a world of ghosts dominated by the figure of Pedro Páramo - lover, overlord, murderer.  Rulfo's extraordinary mix of sensory images, violent passions, and unfathomable mysteries has been a profound influence on a whole generation of Latin American writers, including Carlos Fuentes, Mario Vargas Llosa, and Gabriel García Márquez. To read Pedro Páramo today is as overwhelming an experience as when it was first published in Mexico back in 1955.","Fiction, Magical Realism, Spanish Literature, Latin American, Novels, Literature, Fantasy","124 pages, Paperback","March 10, 1994 by Grove Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1500663791i/38787.jpg,Juan Preciado,9780802133908 (ISBN10: 0802133908),English
The Agony and the Ecstasy,Irving Stone,,"Italy, Florence, Tuscany (Italy), Rome (Italy)","Celebrating the 500th anniversary of Michelangelo’s David, New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelo’s dangerous, impassioned loves, and the God-driven fury from which he wrested the greatest art the world has ever known.","Historical Fiction, Fiction, Art, Classics, Italy, Historical, Art History","776 pages, Mass Market Paperback","January 1, 1961 by Berkley",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327879079i/321552.jpg,"Lorenzo de' Medici (the Magnificent), Michelangelo, Pope Clement VII, Francesco Granacci, Pietro Torrigiani, Pope Julius II, Leonardo da Vinci",9780451171351 (ISBN10: 0451171357),English
Black Boy,Richard Wright,,,"Black Boy is a classic of American autobiography, a subtly crafted narrative of Richard Wright's journey from innocence to experience in the Jim Crow South. An enduring story of one young man's coming of age during a particular time and place, Black Boy remains a seminal text in our history about what it means to be a man, black, and Southern in America.","Classics, Nonfiction, Memoir, Biography, African American, Race, Autobiography","419 pages, Paperback","September 1, 1998 by Harper Perennial Modern Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625884353i/228630.jpg,,9780060929787 (ISBN10: 0060929782),English
The Dharma Bums,Jack Kerouac,Duluoz Legend,"Oregon (United States), San Francisco, California (United States), Los Angeles, California (United States), South Carolina (United States)","Two ebullient young men search for Truth the Zen way: from marathon wine-drinking bouts, poetry jam sessions, and """"yabyum"""" in San Francisco's Bohemia, to solitude in the high Sierras and a vigil atop Desolation Peak in Washington State. Published just a year after On the Road put the Beat Generation on the map, The Dharma Bums is sparked by Kerouac's expansiveness, humor, and a contagious zest for life.","Fiction, Classics, Literature, Novels, Travel, American, Philosophy","244 pages, Paperback","January 1, 1986 by Penguin Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428986082i/412732.jpg,"Ray Smith, Japhy Ryder",,English
The Godfather,Mario Puzo,"The Godfather (#1), Mario Puzo's Mafia","The United States of America, New York (State) (United States), Sicily (Italy)","The Godfather—the epic tale of crime and betrayal that became a global phenomenon.  Almost fifty years ago, a classic was born. A searing portrayal of the Mafia underworld, The Godfather introduced readers to the first family of American crime fiction, the Corleones, and their powerful legacy of tradition, blood, and honor. The seduction of power, the pitfalls of greed, and the allegiance to family—these are the themes that have resonated with millions of readers around the world and made The Godfather the definitive novel of the violent subculture that, steeped in intrigue and controversy, remains indelibly etched in our collective consciousness.","Fiction, Classics, Crime, Thriller, Historical Fiction, Mystery, Novels","448 pages, Paperback","March 1, 2002 by NAL",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394988109i/22034.jpg,"Don Vito Corleone, Michael ""Mike"" Corleone, Santino ""Sonny"" Corleone, Constanzia ""Connie"" Corleone, Fredo ""Freddie"" Corleone, Tom Hagen, Johnny Fontane, Peter ""Pete"" Clemenza, Al Neri, Rocco Lampone, Luca Brasi, Michael ""Mike"" Corleone, Santino ""Sonny"" Corleone, Constanzia ""Connie"" Corleone, Fredo ""Freddie"" Corleone, Tom Hagen, Johnny Fontane, Peter ""Pete"" Clemenza, Luca Brasi
Show more",,English
